organization,lastknown_country,patents
Communications Satellite Corporation,US,3
Fujitsu Limited,JP,3
"Sierra Lobo, Inc.",US,3
"Virtual Geosatellite Holdings, Inc.",US,3
HERAKLES,FR,3
Indian Space Research Organisation,IN,3
"ANALYTICAL MECHANICS ASSOCIATES, INC.",US,3
Airbus DS GmbH,DE,3
TiNi Alloy Company,US,3
Deutsche Forschungsanstalt fuer Luft-und Raumfahrt e.V.,DE,3
Fuji Jukogyo Kabushiki Kaisha,JP,3
Intelsat,US,3
"AeroAstro, Inc.",US,3
Etienne Lacroix Tous Artifices,FR,3
Societe Anonyme dite: Aerospatiale Societe Nationale Industrielle,FR,3
DASSAULT AVIATION,FR,3
Spar Aerospace Products Ltd.,CA,3
The Director-General of the Institute of Space and Astronautical Science,JP,3
"Nea Electronics, Inc.",US,3
Lift-Off Technologies Corporation,US,3
Alenia Spazio S.p.A.,IT,3
MAN Technologie AG,DE,3
ISRAEL AEROSPACE INDUSTRIES LTD.,IL,3
Agency of Industrial Science and Technology,JP,3
Thales Electronic Systems GmbH,DE,3
Eads Astrium SAS,FR,3
AlliedSignal Inc.,US,3
Space Sciences Corporation,US,3
Westinghouse Electric Corp.,US,3
EADS Deutschland GmbH,DE,3
"Oceanit Laboratories, Inc.",US,3
Contraves Italiana S.p.A.,IT,3
Loral Aerospace Corp.,US,3
"NEC Toshiba Space Systems, Ltd.",JP,3
EADS Astrium GmbH,DE,3
"KRATOS INTEGRAL HOLDINGS, LLC",US,3
"Space Power, Inc.",CA,3
"Hemex, Inc.",US,3
Burris Company,US,3
AAIRBUS DEFENCE AND SPACE SAS,FR,3
Teledesic Corporation,US,3
Satellite Business Systems,US,3
Solarex Corporation,JP,3
Oerlikon Contraves AG,CH,3
Spread Spectrum,US,3
EADS Casa Espacio S.L.,ES,3
"IHI AEROSPACE CO., LTD.",JP,3
"Physical Sciences, Inc.",US,3
"Constellation Services International, Inc.",US,3
Nanoscape AG,DE,3
Trex Enterprises Corp.,US,3
BASF Corporation,US,3
Canadian Space Agency/Agence Spatiale Canadienne,CA,3
"MSE Technology Applications, INC.",US,2
DaimlerChrysler Aerospace AG,DE,2
"Applied Thin Films, Inc.",US,2
Andrulis Research Corporation,DE,2
,US,2
Hercules Incorporated,US,2
Acutronic France,FR,2
Globalstar L.P.,US,2
U.S. Philips Corporation,US,2
Aeritalia Societa Aerospaziale Italiana p.A.,IT,2
L'Air Liquide Société Anonyme Pour L'Étude Et L'Exploitation Des Procedes Georges Clause,FR,2
D-ORBIT S.R.L.,IT,2
"Fairchild Industries, Inc.",US,2
Servo Corporation of America,US,2
"L-3 Communications Electron Technologies, Inc.",US,2
ADL Engineering Inc.,TW,2
Sandia Corporation,US,2
Fokker Space B.V.,NL,2
Standard Space Platforms Corp.,US,2
"Hughes Danbury Optical Systems, Inc.",US,2
Altius Space Machines,US,2
"The DirecTV Group, Inc.",US,2
Centre for Research in Earth and Space Technology,GB,2
National Aerospace Laboratory of Japan,JP,2
Canadian Space Agency,CA,2
"Alliance Spacesystems, LLC",US,2
Environmental Research Institute of Michigan,CN,2
"The E.O. Paton Electric Welding Institute of the National Academy of Sciences of Ukraine, CNT UAX COD 03",UA,2
"Biosphere Aerospace, LLC",US,2
Ensign-Bickford Aerospace & Defense Company,US,2
The Regents of The University of Michigan,US,2
The Perkin-Elmer Corporation,US,2
Teledyne Industries,US,2
"MSNW, LLC",US,2
Linquest Corporation,US,2
"Ultrathera Technologies, Inc.",US,2
Gosudarstvenny Kosmichesky Nauchno-Proizvodstvenny Tsentr TM. M.V. Khrunicheva,RU,2
