year,organization,count
2017,Lockheed Martin Corporation,3
2017,Thales,12
2017,The Boeing Company,25
2017,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,3
2017,The United States of America as represented by the Secretary of the Navy,3
2018,Lockheed Martin Corporation,2
2018,Thales,6
2018,The Boeing Company,17
2018,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,3
2018,The United States of America as represented by the Secretary of the Navy,3
